City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
343,Port Blair,IN,84.24,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
345,Vung Tau,VN,81.97,light rain,10.346,107.0843,Seaside Resort
347,Dayong,CN,81.05,clear sky,25.0209,118.2898,Haiyue Express Hotel
348,Zhuhai,CN,85.86,few clouds,22.2769,113.5678,珠海粤财假日酒店
350,Paracuru,BR,79.11,scattered clouds,-3.41,-39.0306,Hotel Vento Brasil
352,Nishihara,JP,79.88,few clouds,26.1842,127.7558,Minshuku Agaihama
357,Sibolga,ID,83.28,moderate rain,1.7427,98.7792,Hotel Syariah CN Darussalam
359,Umm Kaddadah,SD,79.65,clear sky,13.6017,26.6876,
361,Bom Jesus,BR,79.16,broken clouds,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
367,Ta Khmau,KH,77.05,broken clouds,11.4833,104.95,សណ្ឋាគារ និង ភោជនីយដ្ឋាន ត្រានីកា
371,Innisfail,AU,81.7,light rain,-17.5333,146.0333,Moondarra Motel
377,Sur,OM,87.4,scattered clouds,22.5667,59.5289,Sur Plaza Hotel
378,Idenao,CM,75.54,light rain,4.2475,9.0047,Moland Beach Resort
380,Karratha,AU,87.8,clear sky,-20.7377,116.8463,ibis Styles Karratha
381,Faanui,PF,79.03,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
383,Bandarbeyla,SO,81.95,few clouds,9.4942,50.8122,JABIR HOTEL
387,Grand Gaube,MU,76.37,broken clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
391,Salinopolis,BR,80.53,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
392,Cabinda,AO,75.36,broken clouds,-5.55,12.2,Hotel Maiombe
395,Sann,PK,88.97,clear sky,26.0418,68.1378,New Sindhri Hotel
400,Dicabisagan,PH,78.01,moderate rain,17.0818,122.4157,Nancy Montanes Bernardo
402,Sao Filipe,CV,78.01,broken clouds,14.8961,-24.4956,Hotel Xaguate
404,Koumac,NC,75.63,broken clouds,-20.5667,164.2833,Le Monitel
408,Puerto El Triunfo,SV,77.09,overcast clouds,13.2833,-88.55,Hotel Jardin
413,Nabire,ID,83.17,overcast clouds,-3.3667,135.4833,Hotel Nusantara I
415,Buritizeiro,BR,76.12,overcast clouds,-17.3511,-44.9622,Santos Palace Hotel
423,Quatre Cocos,MU,76.08,scattered clouds,-20.2078,57.7625,Sunrise Attitude Hotel
425,Tevaitoa,PF,79.05,light rain,-16.7833,-151.5,Hôtel Raiatea Lodge
426,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
427,Sungaipenuh,ID,78.85,overcast clouds,-2.0833,101.3833,Penginapan Citra Alam
445,Poum,NC,76.17,scattered clouds,-20.2333,164.0167,
450,San Andres,CO,84.22,few clouds,12.5847,-81.7006,Hotel Arena Blanca
452,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
453,Touros,BR,75.56,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
455,Ishigaki,JP,77.13,broken clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
460,Santarem,BR,77.13,few clouds,-2.4431,-54.7083,Hotel Imperador
463,Mayumba,GA,76.59,overcast clouds,-3.432,10.6554,LIKWALE LODGE
469,Hambantota,LK,88.14,overcast clouds,6.1241,81.1185,Bungalow 63
473,Saint-Pierre,RE,75.9,clear sky,-21.3393,55.4781,Alize Plage
474,Baturaja,ID,79.75,overcast clouds,-4.1333,104.1667,"HOTEL Sekar Sunja, Baturaja Timur, Ogan Komering Ulu"
476,Namatanai,PG,84.49,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
479,Mormugao,IN,81.66,overcast clouds,15.4,73.8,Coconut Creek Resort
481,Buala,SB,84.81,light rain,-8.145,159.5921,Maringe Lagoon Lodge
494,Arkalgud,IN,76.78,overcast clouds,12.765,76.0569,Anjanadari Lodge And Hotel Kote Arkalagud
501,Canto Do Buriti,BR,78.87,scattered clouds,-8.11,-42.9444,Novo Hotel
504,Thinadhoo,MV,82.2,broken clouds,0.5333,72.9333,
512,Manadhoo,MV,80.53,overcast clouds,5.7667,73.3833,Bon Abri maldives
519,Port-Gentil,GA,78.53,light rain,-0.7193,8.7815,Fengshui Residence
523,San,ML,77.41,clear sky,13.3034,-4.8956,Hôtel Teriya
524,Lishui,CN,76.12,few clouds,28.4604,119.9103,Bayi Hotel
526,Noumea,NC,80.58,overcast clouds,-22.2763,166.4572,Hôtel Le Lagon
528,Yulara,AU,81.95,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
532,Sabang,ID,81.05,overcast clouds,5.8933,95.3214,Hotel Citra
533,Arauca,CO,77.0,overcast clouds,7.0847,-70.7591,Hotel Verano Plaza
534,San Fernando,PH,87.28,light rain,15.0286,120.6898,Maharlika Hostel
535,Moussoro,TD,80.28,scattered clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
540,San Jose De Guanipa,VE,75.52,overcast clouds,8.8872,-64.1651,Hotel Kariña Guanipa
544,Neiafu,TO,78.22,overcast clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
546,Olinda,BR,75.54,broken clouds,-8.0089,-34.8553,Flat Quatro Rodas Olinda
549,Edd,ER,86.11,clear sky,13.9297,41.6925,
551,Road Town,VG,82.49,light rain,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
555,Natal,BR,77.22,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
558,Diffa,NE,78.04,clear sky,13.3154,12.6113,ProDAF/Diffa
571,Presidente Dutra,BR,76.1,few clouds,-5.29,-44.49,Pousada Planalto
574,Sinnamary,GF,78.57,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
578,Gidam,IN,83.5,clear sky,18.9833,81.4,Dhanshree Lodge And DormItory
583,Sokoni,TZ,76.93,overcast clouds,-6.4333,39.55,Ujamaa Beach Resort
592,Jagatsinghapur,IN,86.36,clear sky,20.2667,86.1667,Arun Beura & Bros..
595,Sawakin,SD,82.69,clear sky,19.1059,37.3321,فندق الدويم
597,Pedernales,DO,79.5,clear sky,18.0384,-71.744,Hotel Costa Marina
598,Puerto Pailas,BO,76.01,scattered clouds,-17.667,-62.7909,Mary luz
604,Kloulklubed,PW,88.3,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
608,Luanda,AO,75.2,broken clouds,-8.8368,13.2343,EPIC SANA Luanda
612,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
613,Morros,BR,77.45,scattered clouds,-9.4467,-46.3003,
615,Buraydah,SA,78.64,clear sky,26.326,43.975,Mövenpick Qassim
617,Guhagar,IN,85.33,few clouds,17.4842,73.1929,Hotel Seawinds
620,Isla Vista,US,78.35,broken clouds,34.4133,-119.861,Best Western Plus South Coast Inn
625,Ranong,TH,75.81,light rain,9.9658,98.6348,Numsai Khaosuay Resort Ranong
634,Tarapur,IN,84.2,scattered clouds,19.85,72.7,Vasantshrushti Farm
639,Simao,CN,79.07,clear sky,22.7886,100.9748,Changyu Hotel
641,Cabo San Lucas,MX,77.61,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
642,Saint-Louis,SN,81.77,clear sky,16.3333,-15.0,
652,Ouallam,NE,80.28,few clouds,14.3188,2.0866,
654,The Valley,AI,82.26,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
658,Mogadishu,SO,79.2,few clouds,2.0371,45.3438,Hotel Juba
661,Araouane,ML,83.12,overcast clouds,18.9048,-3.5265,
665,Taoudenni,ML,80.35,broken clouds,22.6783,-3.9836,
666,Pemangkat,ID,85.21,scattered clouds,1.1667,108.9667,Hotel Duyung Permai 2
672,Sumenep,ID,84.94,light rain,-7.0167,113.8667,Family Nur Hotel
673,Richards Bay,ZA,75.22,broken clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
675,Tecoanapa,MX,76.21,overcast clouds,16.5167,-98.75,Hotel Manglares
676,Veraval,IN,84.9,scattered clouds,20.9,70.3667,Lords Inn Somnath
679,La Palma,US,83.01,few clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
